X,Y,Z,Name,HCI_CODE,HCI_NAME,LICENCE_TYPE,HCI_TEL,POSTAL_CD,ADDR_TYPE,BLK_HSE_NO,FLOOR_NO,UNIT_NO,STREET_NAME,BUILDING_NAME,CLINIC_PROGRAMME_CODE,X_COORDINATE,Y_COORDINATE,INC_CRC,FMEL_UPD_D
103.840356912641,1.38403248453043,0,kml_1124,"9400283",THE CHUNGKIAW FAMILY PRACTICE PTE LTD,MC,"64551009","569766",B,"17","01","06",ANG MO KIO AVE 9,ANG MO KIO THYE HUA KWAN HOSPITAL,"CDMP,CHAS,ISP",28783.27670337,40664.79697684,C59C5D5BCA75977B,"20210926121846"
103.924236461317,1.33177300798251,0,kml_1125,"9401676",THE CIVIC CLINIC,MC,"64412436","460537",A,"537","01","515",BEDOK NORTH ST 3,,"CDMP,CHAS,ISP",38118.22099116,34886.39595437,0001B9006C8F5259,"20210926121846"
103.847819970393,1.2856940848176,0,kml_1126,"9405584",THE CLINIC @ ONE GEORGE STREET,MC,"64385322","49145",B,"1","05","05",GEORGE STREET,(LOBBY C),CHAS,29613.88381144,29791.04380327,AB6C1B32E0A5CBB4,"20210926121846"
103.826654919933,1.45035573243813,0,kml_1127,14M0310,THE CLINIQ,MC,"91172541","751590",A,590A,"01","23",MONTREAL LINK,MONTREAL DALE,"CDMP,CHAS,ISP",27258.44100201,47998.48710606,B07C1D586AE8E359,"20210926121846"
103.809999570462,1.32383512138206,0,kml_1128,"9401677",THE CORONATION CLINIC,MC,"64686768","269707",,"587","02","01",BUKIT TIMAH ROAD,,"CDMP,CHAS,ISP",25404.82795388,34008.49094476,16FEE15895AE89C1,"20210926121846"
103.724496794909,1.3519251312171,0,kml_1129,"9401683",THE DOCTOR'S CLINIC,MC,"65669901","640429",A,"429","01","318",JURONG WEST AVE 1,,"CDMP,CHAS",15889.3566335,37114.79955649,DFD39C3CFC9BF003,"20210926121846"
103.742877957315,1.3849567248116,0,kml_1130,"9401684",THE EDINBURGH CLINIC,MC,"67634500","680306",A,"306","01","685",CHOA CHU KANG AVE 4,,"CDMP,CHAS,ISP",17935.11329396,40767.18569608,70FB9DF4FCBB896C,"20210926121846"
103.848408631153,1.27698070731049,0,kml_1131,11C0030,Trinity Medical (Shenton),MC,"62279918","68809",B,"6","21","10",SHENTON WAY,OUE DOWNTOWN,"CDMP,CHAS",29679.40246409,28827.56390911,FBA9D0CF31FCD163,"20210926121846"
103.905639343355,1.30245317778498,0,kml_1132,13C0091,Trinity Medical Centre (Marine Parade),MC,"63440027","440087",A,"87","01","503",MARINE PARADE CENTRAL,,"CDMP,CHAS",36048.64672672,31644.28873218,C899051E035080B8,"20210926121846"
103.784548440285,1.30735380274195,0,kml_1133,"9405023",Trinity Medical Clinic,MC,"67788868","131019",A,19A,"01","01",DOVER CRESCENT,,"CDMP,CHAS",22572.33605381,32186.11185279,258B5C633EEFC6B1,"20210926121846"
103.739321261292,1.33472490438698,0,kml_1134,12C0136,Trinity Medical Clinic,MC,"65607088","600130",A,"130","02",205/207,Jurong Gateway Road,,"CDMP,CHAS",17539.08184945,35212.81503171,E0BEAC559C15CE7C,"20210926121846"
103.895291518123,1.37050445532031,0,kml_1135,17M0074,Trucare Medical And Surgery,MC,"63853525","533971",B,"1187","01","53",UPPER SERANGOON ROAD,THE MIDTOWN,"CDMP,CHAS",34896.83710723,39169.02429076,D74CA0D554CC8F98,"20210926121846"
103.839283930976,1.3674945803507,0,kml_1136,19M0053,Trucare Medical And Surgery,MC,"62558849","561226",A,226A,"01","631",ANG MO KIO AVENUE 1,KEBUN BARU MALL,CHAS,28663.87205012,38836.1192688,A8128F05655D2B29,"20210926121846"
103.854233088533,1.31438189327845,0,kml_1137,17M0385,TrueCare Clinic,MC,"62998880","218374",,"88","01","06",RANGOON ROAD,RANGOON 88,"CDMP,CHAS",30327.58407108,32963.19902125,38093946946627B8,"20210926121846"
103.626129413294,1.31270397205333,0,kml_1138,20M0246,Tuas View Medical Centre,MC,"83065590","637285",B,"70","01","32",TUAS SOUTH AVENUE 1,TUAS VIEW DORMITORY,"CDMP,CHAS,ISP",4941.7695868,32778.60860263,57F84F3DC424247C,"20210926121846"
103.818758492368,1.28499476970056,0,kml_1139,"9405008",Tzu Chi Free Clinic (Singapore),MC,"64795974","150090",,"90","01","400",Redhill Close,,"CDMP,CHAS,ISP",26379.58342868,29713.71718643,FD5BC04AE8F5C477,"20210926121846"
103.902317496825,1.32942111198195,0,kml_1140,15C0242,UBI FAMILY CLINIC & SURGERY,MC,"67497922","400305",A,"305","01","167",UBI AVENUE 1,,"CDMP,CHAS",35678.87257647,34626.25610357,8E4A572323A259EF,"20210926121846"
103.711680539551,1.34967447000568,0,kml_1141,17M0316,UNICARE FAMILY CLINIC & SURGERY,MC,"62660196","640216",,"216","01","03",BOON LAY AVENUE,MULTI STOREY CAR PARK,CHAS,14463.03668124,36866.00009008,44E2CB110501AC0D,"20210926121846"
